,covariates
155,nirv_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
156,evi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
157,fapar_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
158,ndvi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
159,ndwi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
160,bsi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
161,ndti_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
162,nirv_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
163,evi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
164,fapar_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
165,ndvi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
166,ndwi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
167,bsi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
168,ndti_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
169,nirv_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
170,evi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
171,fapar_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
172,bsf_glad.SeasConv.ard2_m_30m_s_go_epsg.4326_v20230908
173,clm_lst_max.geom.temp_m_30m_s_m1
174,clm_lst_min.geom.temp_m_30m_s_m1
175,clm_lst_max.geom.temp_m_30m_s_m2
176,clm_lst_min.geom.temp_m_30m_s_m2
177,clm_lst_max.geom.temp_m_30m_s_m3
178,clm_lst_min.geom.temp_m_30m_s_m3
179,clm_lst_max.geom.temp_m_30m_s_m4
180,clm_lst_min.geom.temp_m_30m_s_m4
181,clm_lst_max.geom.temp_m_30m_s_m5
182,clm_lst_min.geom.temp_m_30m_s_m5
183,clm_lst_max.geom.temp_m_30m_s_m6
184,clm_lst_min.geom.temp_m_30m_s_m6
185,clm_lst_max.geom.temp_m_30m_s_m7
186,clm_lst_min.geom.temp_m_30m_s_m7
187,clm_lst_max.geom.temp_m_30m_s_m8
188,clm_lst_min.geom.temp_m_30m_s_m8
189,clm_lst_max.geom.temp_m_30m_s_m9
190,clm_lst_min.geom.temp_m_30m_s_m9
191,clm_lst_max.geom.temp_m_30m_s_m10
192,clm_lst_min.geom.temp_m_30m_s_m10
193,clm_lst_max.geom.temp_m_30m_s_m11
194,clm_lst_min.geom.temp_m_30m_s_m11
195,clm_lst_max.geom.temp_m_30m_s_m12
196,clm_lst_min.geom.temp_m_30m_s_m12
